"templateId"	"text"	"templateText"
1	"учетная политика 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика 2022 год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика на 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика на 2022 год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика 2022г"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика на 2022 г"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика на 2022 год?"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика на 2022г"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика 2022 года"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика на 2022 г."	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика 2022год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика 2022 г"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"учетная политика на 2022год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"что изменить в учетной политике на 2022 г"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"что изменить в учетной политике на 2022 год?"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"что изменить в учетной политики на 2022 год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"Что изменить в учетной политике на 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"Что изменить в учетной политике на 2022 год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"что изменить в учетной политике на 2022г."	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"что изменить в учетной политике на 2022год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"Что изменить в учетной политике на 2022 г.?"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"Что изменить в учетной политике на 2022год?"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"что изменить в учетной политике на 2022г"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"что изменить в учетной политике 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"изменения в учетной политике на 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"изменения в учетной политике 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"изменения в учетной политике на 2022 год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"изменение в учетной политике на 2022 год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"изменения в учетной политике"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"изменение учетной политики"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
1	"изменение в учетной политике"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTx3"
2	"изменения с 2022 года"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTxN"
2	"изменение в 2022 году"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTxN"
2	"изменения в 2022году"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTxN"
2	"Изменения в 2022 году"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTxN"
2	"изменения на 2022 год"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTxN"
2	"изменения 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTxN"
2	"изменение 2022"	"Вот ссылка по вашему вопросу https://links.action-media.ru/UTxN"
